Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
17,ORD_00017,2022-05-20,2022-05-25,First Class,CUST_0207,Customer 2964,Home Office,United States,Philadelphia,FL,51180,East,PROD_OFF_7868,Office Supplies,Pen,Pen - Model 344,1291.33,5,0.1,491.24
18,ORD_00018,2023-06-28,2023-07-06,Second Class,CUST_0068,Customer 5915,Corporate,United States,New York,IL,42018,East,PROD_TEC_2638,Technology,Phone,Phone - Model 478,218.75,1,0.2,39.28
19,ORD_00019,2023-08-07,2023-08-11,Standard,CUST_0225,Customer 9900,Home Office,United States,Philadelphia,PA,82512,East,PROD_OFF_5905,Office Supplies,File Folder,File Folder - Model 259,446.57,1,0.05,80.09
20,ORD_00020,2023-07-12,2023-07-18,Same Day,CUST_0310,Customer 4450,Home Office,United States,Chicago,IL,15778,West,PROD_OFF_5325,Office Supplies,Label,Label - Model 103,1246.9,5,0.0,159.22
21,ORD_00021,2023-11-15,2023-11-19,Second Class,CUST_0327,Customer 5291,Consumer,United States,Phoenix,GA,82420,Central,PROD_OFF_2832,Office Supplies,Pen,Pen - Model 251,449.42,1,0.05,118.5
22,ORD_00022,2024-05-30,2024-06-03,Same Day,CUST_0022,Customer 6050,Corporate,United States,Phoenix,NY,30257,South,PROD_TEC_5088,Technology,Scanner,Scanner - Model 342,146.64,1,0.2,53.56
23,ORD_00023,2022-11-29,2022-12-03,Standard,CUST_0452,Customer 7755,Consumer,United States,Houston,TX,39154,South,PROD_FUR_5065,Furniture,Sofa,Sofa - Model 304,264.02,3,0.0,56.7
24,ORD_00024,2024-07-31,2024-08-07,Same Day,CUST_0157,Customer 4728,Consumer,United States,Philadelphia,NY,80282,West,PROD_FUR_5564,Furniture,Bookcase,Bookcase - Model 439,435.4,1,0.1,89.41
25,ORD_00025,2022-02-26,2022-03-01,Standard,CUST_0450,Customer 5279,Consumer,United States,Houston,NC,85574,South,PROD_TEC_8119,Technology,Laptop,Laptop - Model 294,990.87,3,0.1,228.81
26,ORD_00026,2023-06-06,2023-06-08,Second Class,CUST_0363,Customer 8144,Consumer,United States,Phoenix,MI,50538,West,PROD_FUR_2146,Furniture,Cabinet,Cabinet - Model 782,946.04,3,0.0,298.88
27,ORD_00027,2024-04-16,2024-04-23,Standard,CUST_0207,Customer 5844,Home Office,United States,Chicago,TX,47606,West,PROD_FUR_7211,Furniture,Sofa,Sofa - Model 315,560.88,2,0.1,124.42
28,ORD_00028,2024-05-30,2024-06-06,First Class,CUST_0239,Customer 8238,Corporate,United States,Philadelphia,FL,50687,Central,PROD_OFF_2389,Office Supplies,Notebook,Notebook - Model 330,630.17,3,0.2,126.38
29,ORD_00029,2023-02-12,2023-02-16,Standard,CUST_0013,Customer 1757,Consumer,United States,New York,GA,65724,East,PROD_FUR_4185,Furniture,Cabinet,Cabinet - Model 324,958.53,4,0.05,138.29
30,ORD_00030,2022-12-27,2023-01-06,Same Day,CUST_0238,Customer 1822,Home Office,United States,Phoenix,FL,76162,East,PROD_FUR_8612,Furniture,Desk,Desk - Model 536,1976.27,5,0.2,385.75
31,ORD_00031,2024-07-02,2024-07-06,Second Class,CUST_0381,Customer 8777,Corporate,United States,Los Angeles,PA,45614,West,PROD_OFF_9540,Office Supplies,Binder,Binder - Model 443,1141.58,4,0.1,264.8
32,ORD_00032,2023-10-17,2023-10-27,Same Day,CUST_0042,Customer 3267,Consumer,United States,New York,FL,37110,Central,PROD_OFF_4505,Office Supplies,Notebook,Notebook - Model 952,191.96,1,0.1,50.44
33,ORD_00033,2024-05-10,2024-05-18,First Class,CUST_0464,Customer 1320,Home Office,United States,Houston,OH,38760,Central,PROD_TEC_5892,Technology,Tablet,Tablet - Model 379,1455.84,4,0.15,380.65
34,ORD_00034,2024-06-11,2024-06-20,Standard,CUST_0015,Customer 7371,Corporate,United States,New York,OH,94246,West,PROD_FUR_9751,Furniture,Desk,Desk - Model 538,363.52,1,0.2,97.9
35,ORD_00035,2022-10-05,2022-10-14,Same Day,CUST_0094,Customer 1823,Corporate,United States,Chicago,OH,20735,South,PROD_TEC_6355,Technology,Phone,Phone - Model 581,976.66,3,0.15,179.19
36,ORD_00036,2022-02-09,2022-02-19,Standard,CUST_0027,Customer 6733,Consumer,United States,Phoenix,CA,38569,East,PROD_TEC_4266,Technology,Desktop,Desktop - Model 576,298.73,1,0.05,41.19
37,ORD_00037,2023-06-09,2023-06-16,First Class,CUST_0086,Customer 2876,Consumer,United States,New York,PA,87607,East,PROD_OFF_6111,Office Supplies,Pen,Pen - Model 807,1453.08,5,0.15,318.22
38,ORD_00038,2023-05-13,2023-05-16,Second Class,CUST_0357,Customer 5941,Home Office,United States,New York,NC,65057,East,PROD_OFF_6688,Office Supplies,Pen,Pen - Model 942,989.57,5,0.1,119.43
39,ORD_00039,2024-09-30,2024-10-03,Same Day,CUST_0222,Customer 6934,Home Office,United States,Houston,GA,87656,West,PROD_FUR_9548,Furniture,Desk,Desk - Model 374,748.31,3,0.2,248.73
40,ORD_00040,2023-10-23,2023-10-28,First Class,CUST_0426,Customer 2419,Corporate,United States,Chicago,GA,43862,West,PROD_FUR_7209,Furniture,Table,Table - Model 448,64.97,3,0.1,10.04
41,ORD_00041,2023-07-27,2023-08-02,Same Day,CUST_0285,Customer 1166,Home Office,United States,Houston,FL,12260,East,PROD_TEC_7658,Technology,Scanner,Scanner - Model 195,1071.74,4,0.05,329.22
42,ORD_00042,2023-08-26,2023-08-31,Same Day,CUST_0208,Customer 4986,Corporate,United States,Chicago,NC,50189,South,PROD_FUR_9698,Furniture,Table,Table - Model 357,524.39,3,0.2,104.48
43,ORD_00043,2023-04-18,2023-04-21,Standard,CUST_0370,Customer 4155,Corporate,United States,Los Angeles,CA,48829,West,PROD_TEC_8933,Technology,Desktop,Desktop - Model 332,876.11,3,0.2,244.47
44,ORD_00044,2024-01-10,2024-01-14,Same Day,CUST_0155,Customer 1231,Home Office,United States,New York,MI,11607,West,PROD_FUR_1893,Furniture,Chair,Chair - Model 687,727.45,5,0.05,211.95
45,ORD_00045,2023-08-06,2023-08-15,Standard,CUST_0246,Customer 8216,Corporate,United States,Los Angeles,TX,29555,East,PROD_FUR_2869,Furniture,Cabinet,Cabinet - Model 930,206.35,1,0.0,56.35
46,ORD_00046,2023-09-15,2023-09-18,Second Class,CUST_0128,Customer 2940,Home Office,United States,Phoenix,OH,91399,West,PROD_OFF_8381,Office Supplies,Stapler,Stapler - Model 161,498.25,4,0.2,197.81
47,ORD_00047,2022-07-23,2022-07-28,Same Day,CUST_0321,Customer 4457,Corporate,United States,Chicago,CA,14278,West,PROD_TEC_2229,Technology,Desktop,Desktop - Model 337,19.23,2,0.15,5.9
48,ORD_00048,2023-08-14,2023-08-20,Second Class,CUST_0360,Customer 8438,Consumer,United States,Los Angeles,FL,19359,South,PROD_OFF_4241,Office Supplies,File Folder,File Folder - Model 161,251.71,4,0.05,74.08
49,ORD_00049,2022-12-06,2022-12-12,Standard,CUST_0305,Customer 5728,Corporate,United States,Houston,CA,52247,Central,PROD_OFF_7594,Office Supplies,Binder,Binder - Model 718,650.84,3,0.15,150.56
50,ORD_00050,2023-05-28,2023-05-30,First Class,CUST_0047,Customer 4750,Home Office,United States,Phoenix,NC,67132,East,PROD_OFF_1659,Office Supplies,Binder,Binder - Model 750,408.93,2,0.15,153.27
51,ORD_00051,2024-10-04,2024-10-07,Same Day,CUST_0241,Customer 6700,Corporate,United States,Phoenix,IL,14809,South,PROD_OFF_3634,Office Supplies,Pen,Pen - Model 565,539.85,3,0.15,100.66
52,ORD_00052,2022-06-30,2022-07-07,Same Day,CUST_0130,Customer 6296,Consumer,United States,Philadelphia,OH,67939,East,PROD_OFF_8569,Office Supplies,File Folder,File Folder - Model 878,116.99,4,0.2,24.4
53,ORD_00053,2022-04-16,2022-04-21,First Class,CUST_0137,Customer 9998,Consumer,United States,Chicago,PA,82199,Central,PROD_OFF_2989,Office Supplies,Stapler,Stapler - Model 114,389.47,1,0.2,132.34
54,ORD_00054,2024-04-15,2024-04-18,Same Day,CUST_0116,Customer 2858,Corporate,United States,Los Angeles,CA,69871,West,PROD_FUR_5781,Furniture,Sofa,Sofa - Model 664,1511.52,5,0.15,529.66
55,ORD_00055,2022-10-24,2022-11-01,Second Class,CUST_0098,Customer 9327,Home Office,United States,Phoenix,TX,86011,East,PROD_FUR_6568,Furniture,Cabinet,Cabinet - Model 775,704.57,5,0.0,130.24
56,ORD_00056,2024-09-29,2024-10-03,First Class,CUST_0229,Customer 9824,Corporate,United States,Phoenix,IL,60196,South,PROD_OFF_7180,Office Supplies,File Folder,File Folder - Model 339,1774.97,4,0.05,699.75
57,ORD_00057,2024-04-21,2024-04-23,Second Class,CUST_0163,Customer 8749,Home Office,United States,New York,OH,67711,Central,PROD_OFF_3492,Office Supplies,Label,Label - Model 202,1834.5,4,0.05,459.89
58,ORD_00058,2024-12-13,2024-12-22,Same Day,CUST_0008,Customer 3361,Corporate,United States,Chicago,TX,92155,East,PROD_FUR_6546,Furniture,Bookcase,Bookcase - Model 835,1747.13,5,0.0,621.16
59,ORD_00059,2024-09-26,2024-10-06,Second Class,CUST_0019,Customer 2121,Consumer,United States,New York,PA,16028,West,PROD_OFF_8110,Office Supplies,Pen,Pen - Model 432,382.58,1,0.0,89.18
60,ORD_00060,2022-04-25,2022-05-01,First Class,CUST_0184,Customer 7141,Corporate,United States,Houston,TX,86435,West,PROD_OFF_3950,Office Supplies,Stapler,Stapler - Model 246,153.25,2,0.2,55.36
61,ORD_00061,2023-04-21,2023-04-30,Second Class,CUST_0327,Customer 5161,Corporate,United States,Philadelphia,PA,65615,East,PROD_FUR_9955,Furniture,Bookcase,Bookcase - Model 806,83.15,2,0.1,32.95
62,ORD_00062,2023-05-28,2023-06-06,Second Class,CUST_0433,Customer 5949,Consumer,United States,New York,OH,96275,Central,PROD_TEC_7248,Technology,Desktop,Desktop - Model 505,836.5,5,0.1,332.77
63,ORD_00063,2023-07-17,2023-07-19,First Class,CUST_0290,Customer 1803,Home Office,United States,Philadelphia,GA,22735,South,PROD_TEC_6772,Technology,Printer,Printer - Model 742,515.11,2,0.2,90.24
64,ORD_00064,2022-03-22,2022-03-28,First Class,CUST_0404,Customer 8222,Consumer,United States,Phoenix,NC,57953,South,PROD_OFF_2476,Office Supplies,Notebook,Notebook - Model 643,433.74,3,0.15,66.23
65,ORD_00065,2024-10-24,2024-10-30,First Class,CUST_0426,Customer 3695,Corporate,United States,Philadelphia,GA,98395,South,PROD_OFF_2886,Office Supplies,Binder,Binder - Model 506,1830.91,4,0.05,597.33
66,ORD_00066,2024-01-20,2024-01-23,First Class,CUST_0405,Customer 7464,Consumer,United States,Houston,PA,13280,East,PROD_FUR_5295,Furniture,Bookcase,Bookcase - Model 734,885.16,5,0.1,117.29
67,ORD_00067,2023-11-03,2023-11-08,Same Day,CUST_0332,Customer 2035,Home Office,United States,New York,GA,22739,South,PROD_OFF_2911,Office Supplies,Stapler,Stapler - Model 340,64.44,2,0.0,12.33
68,ORD_00068,2022-10-05,2022-10-13,Second Class,CUST_0233,Customer 7078,Home Office,United States,New York,MI,58566,Central,PROD_OFF_3531,Office Supplies,Label,Label - Model 322,1125.1,4,0.15,320.31
69,ORD_00069,2024-06-27,2024-07-06,Same Day,CUST_0487,Customer 4868,Corporate,United States,New York,CA,96870,South,PROD_OFF_6876,Office Supplies,Label,Label - Model 317,194.83,1,0.05,76.08
70,ORD_00070,2022-02-13,2022-02-15,First Class,CUST_0403,Customer 6464,Consumer,United States,Phoenix,TX,10371,West,PROD_TEC_4394,Technology,Printer,Printer - Model 383,550.13,5,0.05,109.24
71,ORD_00071,2022-10-24,2022-10-28,Standard,CUST_0277,Customer 5106,Consumer,United States,Los Angeles,CA,65176,East,PROD_TEC_6869,Technology,Laptop,Laptop - Model 638,597.08,2,0.0,90.92
72,ORD_00072,2022-08-21,2022-08-24,Standard,CUST_0244,Customer 8344,Corporate,United States,New York,MI,72781,East,PROD_FUR_4629,Furniture,Table,Table - Model 967,125.0,5,0.2,23.81
73,ORD_00073,2024-04-02,2024-04-10,Second Class,CUST_0352,Customer 2768,Corporate,United States,Houston,GA,88301,East,PROD_TEC_3430,Technology,Tablet,Tablet - Model 643,57.47,1,0.2,16.66
74,ORD_00074,2023-08-27,2023-09-05,Standard,CUST_0259,Customer 8048,Consumer,United States,Chicago,CA,65936,West,PROD_FUR_4743,Furniture,Cabinet,Cabinet - Model 420,598.66,4,0.15,131.48
75,ORD_00075,2023-06-07,2023-06-14,Standard,CUST_0489,Customer 3500,Home Office,United States,Phoenix,GA,83608,East,PROD_TEC_2527,Technology,Laptop,Laptop - Model 675,206.34,4,0.1,70.88
76,ORD_00076,2023-11-07,2023-11-10,Same Day,CUST_0211,Customer 6793,Home Office,United States,Los Angeles,OH,24184,East,PROD_FUR_6119,Furniture,Table,Table - Model 458,145.83,3,0.2,23.89
77,ORD_00077,2024-01-23,2024-01-26,Second Class,CUST_0391,Customer 5564,Home Office,United States,Philadelphia,FL,50499,Central,PROD_OFF_1430,Office Supplies,File Folder,File Folder - Model 447,2093.63,5,0.1,227.55
78,ORD_00078,2023-12-20,2023-12-22,Same Day,CUST_0093,Customer 3347,Home Office,United States,Chicago,OH,30631,East,PROD_TEC_1502,Technology,Scanner,Scanner - Model 478,356.82,1,0.05,75.95
79,ORD_00079,2023-10-01,2023-10-08,Same Day,CUST_0398,Customer 2391,Consumer,United States,Houston,TX,45804,West,PROD_OFF_2336,Office Supplies,Pen,Pen - Model 320,579.17,3,0.15,142.3
80,ORD_00080,2024-11-15,2024-11-18,First Class,CUST_0177,Customer 8043,Consumer,United States,Chicago,PA,37686,Central,PROD_OFF_6053,Office Supplies,Label,Label - Model 885,94.44,1,0.2,11.0
81,ORD_00081,2022-10-09,2022-10-15,Second Class,CUST_0149,Customer 6375,Consumer,United States,New York,NY,62044,Central,PROD_OFF_3878,Office Supplies,Stapler,Stapler - Model 982,372.97,2,0.05,93.27
82,ORD_00082,2022-03-28,2022-04-05,First Class,CUST_0010,Customer 8532,Consumer,United States,Phoenix,IL,70305,Central,PROD_OFF_7843,Office Supplies,Stapler,Stapler - Model 951,199.3,3,0.0,77.7
83,ORD_00083,2024-01-12,2024-01-15,First Class,CUST_0224,Customer 2734,Consumer,United States,New York,OH,76910,Central,PROD_OFF_7484,Office Supplies,Pen,Pen - Model 748,1070.02,3,0.05,213.92
84,ORD_00084,2022-08-22,2022-09-01,Standard,CUST_0262,Customer 4176,Corporate,United States,Los Angeles,IL,92306,West,PROD_TEC_3399,Technology,Laptop,Laptop - Model 605,255.99,3,0.2,37.34
85,ORD_00085,2024-08-08,2024-08-17,Second Class,CUST_0349,Customer 6295,Home Office,United States,Phoenix,IL,19724,West,PROD_FUR_8682,Furniture,Chair,Chair - Model 417,1149.76,4,0.1,318.97
86,ORD_00086,2024-08-03,2024-08-12,Standard,CUST_0020,Customer 1932,Corporate,United States,Houston,PA,84928,East,PROD_OFF_9307,Office Supplies,Pen,Pen - Model 767,757.53,4,0.2,292.61
87,ORD_00087,2023-01-21,2023-01-28,Same Day,CUST_0310,Customer 8792,Home Office,United States,Houston,TX,78690,East,PROD_FUR_6626,Furniture,Chair,Chair - Model 635,244.37,1,0.05,27.31
88,ORD_00088,2022-11-22,2022-11-29,Same Day,CUST_0191,Customer 5634,Corporate,United States,Chicago,OH,43029,South,PROD_OFF_1857,Office Supplies,File Folder,File Folder - Model 841,126.89,3,0.0,33.93
89,ORD_00089,2022-11-04,2022-11-11,Standard,CUST_0042,Customer 3317,Corporate,United States,Philadelphia,PA,97878,Central,PROD_TEC_2388,Technology,Printer,Printer - Model 533,766.45,3,0.1,263.63
90,ORD_00090,2024-11-07,2024-11-14,Standard,CUST_0010,Customer 6940,Corporate,United States,Phoenix,TX,80748,West,PROD_FUR_4145,Furniture,Cabinet,Cabinet - Model 955,949.98,2,0.05,116.99
91,ORD_00091,2024-12-14,2024-12-16,Standard,CUST_0339,Customer 6517,Home Office,United States,Houston,TX,57749,Central,PROD_TEC_3962,Technology,Desktop,Desktop - Model 792,1930.55,5,0.05,610.74
92,ORD_00092,2023-05-02,2023-05-11,Same Day,CUST_0313,Customer 5668,Home Office,United States,Houston,GA,46932,West,PROD_OFF_6070,Office Supplies,Notebook,Notebook - Model 896,1721.2,4,0.05,362.06
93,ORD_00093,2024-02-22,2024-03-03,Standard,CUST_0271,Customer 7859,Consumer,United States,Chicago,FL,20993,West,PROD_FUR_8873,Furniture,Chair,Chair - Model 881,845.17,3,0.0,264.89
94,ORD_00094,2022-11-25,2022-12-01,First Class,CUST_0231,Customer 9410,Consumer,United States,Houston,OH,20696,East,PROD_TEC_6727,Technology,Phone,Phone - Model 483,181.3,1,0.15,45.44
95,ORD_00095,2023-04-05,2023-04-07,Same Day,CUST_0164,Customer 2623,Home Office,United States,Houston,IL,90654,West,PROD_TEC_5700,Technology,Laptop,Laptop - Model 105,1334.09,4,0.05,437.12
96,ORD_00096,2022-06-12,2022-06-14,Same Day,CUST_0132,Customer 4533,Consumer,United States,New York,MI,24530,Central,PROD_TEC_4893,Technology,Tablet,Tablet - Model 956,198.66,3,0.05,44.89
97,ORD_00097,2024-10-20,2024-10-30,Standard,CUST_0009,Customer 9443,Home Office,United States,Phoenix,FL,57265,West,PROD_FUR_1025,Furniture,Cabinet,Cabinet - Model 169,731.52,5,0.2,164.57
98,ORD_00098,2024-12-13,2024-12-23,Standard,CUST_0260,Customer 9316,Home Office,United States,Chicago,NY,41604,Central,PROD_FUR_7338,Furniture,Chair,Chair - Model 850,402.87,3,0.0,83.44
99,ORD_00099,2022-08-01,2022-08-08,Same Day,CUST_0069,Customer 1726,Corporate,United States,New York,MI,48462,South,PROD_OFF_8612,Office Supplies,Notebook,Notebook - Model 306,1214.29,4,0.05,144.42
100,ORD_00100,2022-03-31,2022-04-05,Standard,CUST_0454,Customer 1686,Corporate,United States,Philadelphia,PA,53506,Central,PROD_OFF_5150,Office Supplies,Stapler,Stapler - Model 379,360.16,1,0.05,66.93
101,ORD_00101,2022-09-12,2022-09-19,Standard,CUST_0224,Customer 7553,Home Office,United States,Philadelphia,GA,65640,Central,PROD_FUR_9129,Furniture,Desk,Desk - Model 180,608.0,4,0.2,109.45
102,ORD_00102,2024-05-31,2024-06-04,Same Day,CUST_0280,Customer 5813,Corporate,United States,Chicago,CA,68606,East,PROD_FUR_5843,Furniture,Sofa,Sofa - Model 143,582.67,3,0.15,87.4
103,ORD_00103,2023-12-24,2024-01-01,Same Day,CUST_0141,Customer 1939,Consumer,United States,New York,OH,26545,South,PROD_OFF_3621,Office Supplies,Label,Label - Model 168,63.97,1,0.2,19.41
104,ORD_00104,2023-04-29,2023-05-06,Second Class,CUST_0186,Customer 7272,Home Office,United States,Houston,NY,51207,West,PROD_OFF_7077,Office Supplies,Stapler,Stapler - Model 765,682.59,3,0.0,185.79
105,ORD_00105,2023-07-25,2023-07-30,Second Class,CUST_0492,Customer 2858,Consumer,United States,Philadelphia,TX,74382,Central,PROD_OFF_2929,Office Supplies,Stapler,Stapler - Model 304,993.82,3,0.15,163.36
106,ORD_00106,2022-09-09,2022-09-13,Second Class,CUST_0437,Customer 2213,Corporate,United States,Los Angeles,TX,93584,Central,PROD_TEC_6236,Technology,Scanner,Scanner - Model 278,858.42,3,0.2,225.47
107,ORD_00107,2024-01-11,2024-01-21,First Class,CUST_0115,Customer 2988,Consumer,United States,Phoenix,TX,21300,West,PROD_FUR_6912,Furniture,Chair,Chair - Model 167,1234.27,5,0.15,421.01
108,ORD_00108,2023-09-26,2023-10-04,Second Class,CUST_0368,Customer 8842,Home Office,United States,Los Angeles,OH,82260,Central,PROD_OFF_3053,Office Supplies,Pen,Pen - Model 755,828.1,3,0.15,198.54
109,ORD_00109,2023-01-08,2023-01-12,Second Class,CUST_0222,Customer 9238,Consumer,United States,New York,CA,42847,West,PROD_FUR_3653,Furniture,Desk,Desk - Model 301,1333.86,3,0.05,271.85
110,ORD_00110,2023-07-17,2023-07-21,Second Class,CUST_0321,Customer 5961,Home Office,United States,Phoenix,MI,15399,East,PROD_OFF_3762,Office Supplies,Label,Label - Model 945,2239.09,5,0.05,338.91
111,ORD_00111,2022-02-28,2022-03-03,Second Class,CUST_0024,Customer 5336,Home Office,United States,Houston,FL,42096,Central,PROD_OFF_1496,Office Supplies,Label,Label - Model 924,1425.95,4,0.2,266.51
112,ORD_00112,2024-04-11,2024-04-17,Second Class,CUST_0233,Customer 2195,Home Office,United States,Philadelphia,NY,55268,West,PROD_FUR_8933,Furniture,Cabinet,Cabinet - Model 508,351.91,4,0.2,50.36
113,ORD_00113,2022-09-25,2022-10-02,Same Day,CUST_0264,Customer 2739,Corporate,United States,Phoenix,FL,64805,Central,PROD_TEC_8366,Technology,Tablet,Tablet - Model 354,158.06,2,0.0,29.57
114,ORD_00114,2022-11-24,2022-12-01,Same Day,CUST_0479,Customer 6123,Consumer,United States,Los Angeles,TX,38199,Central,PROD_OFF_9171,Office Supplies,Stapler,Stapler - Model 697,761.13,3,0.0,291.95
115,ORD_00115,2023-12-24,2023-12-26,Same Day,CUST_0026,Customer 5609,Corporate,United States,Chicago,NC,15930,Central,PROD_FUR_1133,Furniture,Table,Table - Model 510,199.04,1,0.1,63.34
116,ORD_00116,2022-04-15,2022-04-25,Standard,CUST_0100,Customer 6939,Home Office,United States,Los Angeles,PA,22672,East,PROD_FUR_8378,Furniture,Table,Table - Model 503,588.25,5,0.2,178.9
117,ORD_00117,2024-02-04,2024-02-11,Same Day,CUST_0286,Customer 6990,Consumer,United States,Los Angeles,FL,89463,Central,PROD_OFF_1742,Office Supplies,Pen,Pen - Model 627,69.43,1,0.1,23.69
118,ORD_00118,2022-10-14,2022-10-21,Standard,CUST_0477,Customer 6218,Consumer,United States,Chicago,OH,53416,South,PROD_OFF_9311,Office Supplies,Binder,Binder - Model 789,1083.39,5,0.2,205.78
119,ORD_00119,2022-08-13,2022-08-21,Same Day,CUST_0299,Customer 6040,Home Office,United States,Los Angeles,NY,99224,Central,PROD_FUR_4728,Furniture,Sofa,Sofa - Model 348,281.13,1,0.05,72.33
120,ORD_00120,2022-03-06,2022-03-09,Standard,CUST_0098,Customer 1310,Corporate,United States,Philadelphia,IL,28098,Central,PROD_TEC_4340,Technology,Phone,Phone - Model 631,818.85,4,0.2,308.02
121,ORD_00121,2023-03-01,2023-03-11,First Class,CUST_0167,Customer 8837,Home Office,United States,Los Angeles,OH,46569,South,PROD_TEC_9734,Technology,Phone,Phone - Model 671,749.72,3,0.1,212.19
122,ORD_00122,2023-09-04,2023-09-09,Same Day,CUST_0483,Customer 5876,Corporate,United States,Houston,FL,55237,Central,PROD_FUR_6714,Furniture,Cabinet,Cabinet - Model 891,2103.81,5,0.1,392.02
123,ORD_00123,2022-10-27,2022-11-02,Second Class,CUST_0022,Customer 5712,Home Office,United States,Los Angeles,CA,24316,South,PROD_FUR_5201,Furniture,Sofa,Sofa - Model 730,367.53,4,0.2,66.65
124,ORD_00124,2023-05-06,2023-05-11,First Class,CUST_0026,Customer 9700,Consumer,United States,Houston,FL,95575,East,PROD_TEC_6411,Technology,Phone,Phone - Model 999,225.21,4,0.05,22.87
125,ORD_00125,2024-09-01,2024-09-10,First Class,CUST_0334,Customer 4267,Corporate,United States,Houston,IL,33040,South,PROD_OFF_2465,Office Supplies,Pen,Pen - Model 137,618.94,5,0.0,231.46
126,ORD_00126,2024-03-24,2024-04-02,First Class,CUST_0096,Customer 5742,Consumer,United States,Phoenix,NY,71344,South,PROD_OFF_2758,Office Supplies,File Folder,File Folder - Model 379,358.64,3,0.2,92.28
127,ORD_00127,2023-01-30,2023-02-02,First Class,CUST_0170,Customer 3662,Home Office,United States,Los Angeles,GA,90079,South,PROD_OFF_1230,Office Supplies,Notebook,Notebook - Model 976,953.94,3,0.2,288.4
